Column1,Column2,Column3,Column4,Column5
0,0,E4,12,1
0,1,E4,12,1
0,2,E4,12,1
0,3,A4,24/10,1
0,4,B4,24,1
0,5,C5,24,1
0,6,B4,24/10,1
0,7,C5,24,1
0,8,D5,24,1
0,9,C5,24/10,1
0,10,B4,24,1
0,11,A4,24,1
0,12,B4,4,1
0,13,E4,12,1
0,14,R,12,1
0,15,E4,12,1
0,16,A4,12,1
0,17,C#5,12,1
0,18,E5,12,1
0,19,G5,2,1
0,20,G5,12,1
0,21,F5,12,1
0,22,E5,12,1
0,23,D5,4/3,1
0,24,D5,12,1
0,25,D5,12,1
0,26,E5,12,1
0,27,F5,4/3,1
0,28,B4,12,1
0,29,E5,12,1
0,30,D5,12,1
0,31,C5,4/3,1
0,32,C5,12,1
0,33,C5,12,1
0,34,E5,12,1
0,35,D5,4,1
0,36,A4,12,1
0,37,A4,12,1
0,38,A4,12,1
0,39,A4,4,1
0,40,C5,4,1
0,41,C5,2,1
0,42,B4,4,1
0,43,E5,4,1
1,0,R,4,1
1,1,C4,4,1
1,2,C4,4,1
1,3,E4,4,1
1,4,E4,4,1
1,5,E4,4,1
1,6,E4,4,1
1,7,E4,4,1
1,8,D4,4,1
1,9,C#4,4,1
1,10,D4,4,1
1,11,E4,4,1
1,12,C#4,4,1
1,13,F4,8,1
1,14,A4,24,1
1,15,A4,24,1
1,16,A4,24,1
1,17,A#4,12,1
1,18,A#4,12,1
1,19,A#4,12,1
1,20,B4,12,1
1,21,B4,12,1
1,22,B4,12,1
1,23,A#4,12,1
1,24,A#4,12,1
1,25,A#4,12,1
1,26,A4,4/3,1
1,27,G#4,4,1
1,28,E4,4/3,1
1,29,E4,12,1
1,30,E4,12,1
1,31,G4,12,1
1,32,A4,4,1
1,33,D4,12,1
1,34,D4,12,1
1,35,D4,12,1
1,36,F#4,4,1
1,37,F#4,4,1
1,38,F4,2,1
1,39,E4,4,1
1,40,G#4,4,1
1,14,F4,24,1
1,15,F4,24,1
1,16,F4,24,1
1,17,F4,12,1
1,18,F4,12,1
1,19,F4,12,1
1,20,F4,12,1
1,21,F4,12,1
1,22,F4,12,1
1,23,F4,12,1
1,24,F4,12,1
1,25,F4,12,1
2,0,R,4,1
2,1,A2,4,1
2,2,A3,4,1
2,3,G#3,4,1
2,4,G#2,4,1
2,5,A2,4,1
2,6,A3,4,1
2,7,G#3,4,1
2,8,G#2,4,1
2,9,A2,4,1
2,10,B2,4,1
