トラック,ユニット,音階,長さ,ベロシティ
0,0,C4,16/3,1
0,1,C4,16,1
0,2,C4,16/3,1
0,3,D4,16,1
0,4,E4,16/3,1
0,5,D4,16,1
0,6,G4,16/3,1
0,7,E4,16,1
0,8,C5,16/3,1
0,9,A4,16,1
0,10,G4,16/3,1
0,11,E4,16,1
0,12,G4,4,1
0,13,R,4,1
0,14,C4,16/3,1
0,15,C4,16,1
0,16,C4,16/3,1
0,17,D4,16,1
0,18,E4,16/3,1
0,19,G4,16,1
0,20,A4,16/3,1
0,21,A4,16,1
0,22,E4,16/3,1
0,23,E4,16,1
0,24,E4,16/3,1
0,25,D4,16,1
0,26,C4,4,1
0,27,R,4,1
0,28,C5,16/3,1
0,29,A4,16,1
0,30,C5,16/3,1
0,31,A4,16,1
0,32,G4,16/3,1
0,33,E4,16,1
0,34,G4,16/3,1
0,35,E4,16,1
0,36,G4,4,1
0,37,C5,4,1
0,38,C5,4,1
0,39,R,4,1
0,40,R,1,1
1,0,C3,4,1
1,1,G3,4,1
1,1,E3,4,1
1,2,C3,4,1
1,3,G3,4,1
1,3,E3,4,1
1,4,C3,4,1
1,5,G3,4,1
1,5,E3,4,1
1,6,C3,4,1
1,7,G3,4,1
1,7,E3,4,1
1,8,C3,4,1
1,9,G3,4,1
1,9,E3,4,1
1,10,C3,4,1
1,11,G3,4,1
1,11,E3,4,1
1,12,C3,4,1
1,13,G3,4,1
1,13,E3,4,1
1,14,C3,4,1
1,15,G3,4,1
1,15,E3,4,1
1,16,C3,4,1
1,17,A3,4,1
1,17,F3,4,1
1,18,C3,4,1
1,19,G3,4,1
1,19,E3,4,1
1,20,C3,4,1
1,21,G3,4,1
1,21,E3,4,1
1,22,C3,4,1
1,23,R,4,1
1,24,R,1,1
