トラック,ユニット,音階,長さ,ベロシティ
0,0,C5,32/7,1
0,1,C5,32,1
0,2,F5,4,1
0,3,G5,4,1
0,4,A5,4,1
0,5,A#5,4,1
0,6,C6,4,1
0,7,F6,2,1
0,8,E6,32/7,1
0,9,D6,32,1
0,10,D6,8/3,1
0,11,C6,8,1
0,12,R,8,0
0,13,B5,8,1
0,14,B5,8,1
0,15,D6,8,1
0,16,C6,4,1
0,17,A5,2,1
0,18,A4,32/7,1
0,19,A4,32,1
0,20,A4,4,1
0,21,A4,4,1
0,22,B4,4,1
0,23,C#5,4,1
0,24,D5,2,1
0,25,R,8,1
0,26,D5,8,1
0,27,E5,8,1
0,28,F5,8,1
0,29,G5,2,1
0,30,R,8,0
0,31,D5,8,1
0,32,D5,8,1
0,33,F5,8,1
0,34,F5,4,1
0,35,E5,4,1
0,36,D5,4,1
0,37,C5,4,1
0,38,A5,8/5,1
0,39,A#5,8,1
0,40,A5,8,1
0,41,G5,8,1
0,42,F5,2,1
0,43,D5,4,1
0,44,F5,4,1
0,45,G5,8/5,1
0,46,A5,8,1
0,47,G5,8,1
0,48,F5,8,1
0,49,F5,2,1
0,50,E5,4,1
0,51,C5,4,1
0,52,C6,8/5,1
0,53,A5,8,1
0,54,A#5,8,1
0,55,C6,8,1
0,56,D6,8/5,1
0,57,D5,8,1
0,58,E5,8,1
0,59,F5,8,1
0,60,A#5,2,1
0,61,A5,2,1
0,62,F5,8/5,1
0,63,R,8,0
1,0,A#4,32/7,1
1,1,A#4,32,1
1,2,A4,4,1
1,3,C5,4,1
1,4,F5,4,1
1,5,F5,4,1
1,6,F5,2,1
1,7,F5,2,1
1,8,A#5,8/3,1
1,9,A5,8,1
1,10,R,8,1
1,11,G#5,8,1
1,12,G#5,8,1
1,13,B5,8,1
1,14,A5,4,1
1,15,F5,2,1
1,16,R,4,1
1,17,C#4,4,1
1,18,C#4,4,1
1,19,D4,4,1
1,20,E4,4,1
1,21,F4,2,1
1,22,R,8,1
1,23,F4,8,1
1,24,G4,8,1
1,25,A4,8,1
1,26,D5,2,1
1,27,R,8,1
1,28,B4,8,1
1,29,B4,8,1
1,30,D5,8,1
1,31,D5,4,1
1,32,C5,4,1
1,33,A#4,4,1
1,34,A#4,4,1
1,35,C#5,8/5,1
1,36,C#5,8,1
1,37,C#5,8,1
1,38,C#5,8,1
1,39,D5,2,1
1,40,A4,4,1
1,41,A4,4,1
1,42,D5,8/5,1
1,43,B4,8,1
1,44,B4,8,1
1,45,B4,8,1
1,46,A#4,2,1
1,47,A#4,4,1
1,48,A#4,4,1
1,49,F#5,8/5,1
1,50,F#5,8,1
1,51,G5,8,1
1,52,A5,8,1
1,53,A#5,8/5,1
1,54,A#4,8,1
1,55,C5,8,1
1,56,D5,8,1
1,57,D5,2,1
1,58,E5,2,1
1,59,A4,8/5,1
1,60,R,8,1
2,0,R,4,1
2,1,F3,4,1
2,2,E3,4,1
2,3,D#3,4,1
2,4,D3,4,1
2,5,A2,2,1
2,6,A#2,2,1
2,7,F3,4,1
2,8,C3,4,1
2,9,F2,4,1
2,10,F3,4,1
2,11,F3,4,1
2,12,A2,4,1
2,13,C3,4,1
2,14,F3,4,1
2,15,A2,2,1
2,16,A2,2,1
2,17,D3,4,1
2,18,A2,4,1
2,19,F3,4,1
2,20,D3,4,1
2,21,B2,4,1
2,22,D3,4,1
2,23,G3,4,1
2,24,G2,4,1
2,25,C3,2,1
2,26,C3,4,1
2,27,E3,4,1
2,28,A2,4,1
2,29,C#3,4,1
2,30,E3,4,1
2,31,A2,4,1
2,32,D3,4,1
2,33,E3,4,1
2,34,F3,4,1
2,35,D3,4,1
2,36,B2,4,1
2,37,D3,4,1
2,38,G3,4,1
2,39,G2,4,1
2,40,C3,4,1
2,41,C3,4,1
2,42,G3,4,1
2,43,A#3,4,1
2,44,A3,4,1
2,45,F#3,4,1
2,46,D3,4,1
2,47,A2,4,1
2,48,G2,4,1
2,49,A2,4,1
2,50,A#2,4,1
2,51,G2,4,1
2,52,G3,4,1
2,53,C3,4,1
2,54,A#3,4,1
2,55,C3,4,1
2,56,F3,4,1
2,57,C3,4,1
2,58,F3,4,1
